0,1
157371277,395825789
190328292,502492049
153217449,168650172
215186179,310154805
97984519,333238006
163128011,254127338
83848730,169907505
182177483,395825789
237142597,273592005
211360966,504206085
51496340,145250801
152134139,395825789
131649685,133357866
204558053,290124518
96850671,168650172
53782982,155695430
88620086,152134139
65908651,186741822
51496340,373036562
82561236,203923138
310509254,328798173
90149067,333238006
167306708,257875522
135196099,153044797
190077265,203923138
133357866,219229831
99155332,100054491
91408088,575974633
69153571,504206085
213091184,286069103
204558053,373036562
234539359,575974633
152615668,170447951
5654476,175975474
5654476,352861469
153044797,244527559
116359633,150949613
88703832,170447951
116359633,170710739
190783881,266347537
99155332,133728396
82325864,222931941
333238006,395825789
88620086,234539359
166234253,175817207
131649685,167196653
190328292,282029331
131649685,152134139
152134139,328798173
88703832,151100514
298175640,333238006
89628482,106799366
168650172,192487370
153217449,155695430
206998,5654476
50216884,172223080
65773555,147282022
1588116,55783291
190077265,310509254
206998,206836171
65908651,137724421
157693661,373036562
96208835,182827946
50430723,182492625
55783291,69153571
170447951,186741822
36475829,106799366
145250801,203923138
116359633,273592005
82561236,235300295
10534617,205974349
186741822,504206085
137724421,165292341
190077265,235300295
90149067,186741822
153044797,333238006
101563349,182177483
5654476,145250801
170710739,234539359
131649685,575974633
135196099,144571554
96850671,155695430
99155332,156758150
32600570,82561236
63620508,152615668
82561236,244527559
131649685,234539359
206998,329606788
65908651,145391693
96850671,151742483
254127338,504206085
110575132,219229831
83848730,156758150
167196653,178688577
146290046,427329764
97984519,132993271
64371002,144571554
82561236,150949613
89628482,213091184
155695430,168650172
167306708,249661765
110575132,575974633
137576554,144571554
435170735,587610174
244527559,329606788
126484344,178688577
106799366,153044797
146290046,172223080
51496340,175817207
215186179,370008558
33610731,89628482
7980360,59223044
64371002,137576554
145250801,235300295
82561236,333238006
96818622,151742483
65908651,172223080
161903094,169907505
34746243,59223044
56818211,88620086
90149067,137724421
7980360,10335432
145391693,154129724
215186179,365401818
341503010,370008558
361353658,370008558
266347537,271462485
2892586,100054491
52141462,219229831
64371002,100054491
144571554,286069103
132881145,211360966
82325864,235300295
65595747,167196653
82561236,135196099
97984519,427329764
91408088,116359633
7980360,435170735
361353658,365401818
341503010,371412711
152615668,182827946
50430723,159340018
145391693,152615668
150949613,157693661
34746243,435170735
96208835,152134139
161903094,173751897
10534617,87576787
65595747,219229831
91216303,157137954
99155332,153217449
101563349,154129724
211360966,219229831
64371002,152615668
